# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230902-20230907
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,33528,Grand total
#003B21A,United States,1
#004M20A,United States,1
#016B21A,United States,1
#030M20A,United States,1
#EK9231,United States,1
#EL9262,United States,1
#EN6201,Canada,1
#EN6202,United States,1
#EP6955,United States,1
#ER2613,United States,1
#EW0173,United States,1
(not set),Belize,1
000003A,Italy,1
000004A,United Kingdom,1
000004A 19/03/2,Lebanon,1
000014A,Germany,1
000014A,Mexico,1
000014A,Netherlands,1
000033BA,Italy,1
000050A,United Kingdom,1
000057A,Australia,1
000057A,Belgium,1
000057A,United States,1
000061A,Italy,1
000075A,United Kingdom,1
000077A,Germany,1
000086A,Germany,1
000089A,United Kingdom,1
000102A,Germany,1
000105A,Germany,1
000106A,Germany,1
000109A,Germany,1
000114A,Germany,1
000120A,Germany,1
000124A,United Kingdom,1
000125A,Germany,1
000125A,Mexico,1
000128A,Germany,1
000137A,Germany,1
000142ABS,Netherlands,1
000221A,Japan,1
0006M20A,United States,1
001021A,United States,1
0011J20A,United States,1
001A21A,United States,1
001BZ1A,United States,1
0029A21A,United States,1
002AZ1A,United States,1
002AZIA,United States,1
002B21A,United States,1
002F21A,United States,1
002L20A,United States,1
0033B21A,United States,1
003F21A,United States,1
003J21-2A,United States,1
004C21A,United States,1
004F21A,United States,1
004M2OA,United States,1
005B21A,United States,1
005C21A,United States,1
006C21A,United States,1
006H20A,United States,1
006M21A,United States,1
006M2OA,United States,1
007M20A,Germany,1
007M21A,United States,1
007M2OA,United States,1
007MZ0A,United States,1
008B21A,Romania,1
008C12A,United States,1
008C214,United States,1
008D21A,United States,1
009CZ1A,United States,1
00A21A,United States,1
010A211A,United States,1
011220A,United States,1
011F21A,United States,1
011L20A,Germany,1
012021A,Malaysia,1
012AZIA,United States,1
012LZOA,United States,1
013B22A,United States,1
013FZ1A,United States,1
013H21B,United States,1
013L02A,United States,1
013L201A,United States,1
013L20A,Canada,1
013L20A,Netherlands,1
013M2OA,United States,1
013MZOA,United States,1
014H22A,United States,1
014M20A.,United States,1
014MZ0A,United States,1
015F21A,United States,1
015H22A,United States,1
016821A,United States,1
016B22A,United States,1
016CZ1A,United States,1
016J21-2A,Canada,1
016L21A,United States,1
016MZOA,United States,1
017821A,United States,1
017B22A,United States,1
017B22A-MODERNA,United States,1
017E21A,Italy,1
017G21A,Germany,1
0191321A,United States,1
019B12A,United States,1
019B21,United States,1
01DE,Germany,1
01DE/IZ87437A/1,Switzerland,1
020821A,United States,1
020B211A,United States,1
020E21A,United States,1
020J21A,United States,1
021A21A,Romania,1
022A21A,United States,1
022B21A,United States,1
022J21A,United States,1
024M2OA,United States,1
025021A,United States,1
025520A,United States,1
025821A,United States,1
025C20A,United States,1
025C2IA,United States,1
025CZ1A,United States,1
025J20-2A / 025,Netherlands,1
026AZ1A,United States,1
026L204,United States,1
026L21B,United States,1
027AZ1A,United States,1
027B21A,United States,1
027H218,United States,1
027H21B,Hungary,1
027K20A,United States,1
027L20A,United States,1
027L21A,United States,1
027L21A-MODERNA,United States,1
028620A,United States,1
028D21A,United States,1
028K21A-MODERNA,United States,1
029C21A,United States,1
030120A,United States,1
03021A,Italy,1
030A21A,Canada,1
030B21A ,United States,1
030H2113,United States,1
030LZ0A,United States,1
031G21A,Spain,1
031L2OA,United States,1
031LZ0A,United States,1
032120A,United States,1
032B21A,United States,1
032H20A,United States,1
032L2OA,United States,1
032M2OA,United States,1
0331211/1808980,United States,1
033B21A,United States,1
033K21-2A,United States,1
033K212A,United States,1
034FZ1A,Montserrat,1
034FZ1A,United States,1
035C21A,United States,1
037A218,United States,1
037A21A,United States,1
037A22B,United States,1
037C21A,Italy,1
037F21A,United States,1
037K20A,Canada,1
037R20A,United States,1
038A22A,United States,1
038B21A,Hungary,1
038B21A,United States,1
038D21A,Guatemala,1
038K2OA,United States,1
039K20A,Germany,1
03H21B,United States,1
03L20A,United States,1
040A21A,Hungary,1
040A21A,Romania,1
040AZ1A,Canada,1
040C21A,United States,1
040D21A,United States,1
041620A,United States,1
041AZ1A,United States,1
041B21A,United States,1
041C20A,United States,1
041C21A,United States,1
042120A,United States,1
042A421A,United States,1
042D21A,Brazil,1
042D21A,Morocco,1
042J21A,United States,1
042L0A,United States,1
043021A,United States,1
043620A,United States,1
043821A,United States,1
043A12A,United States,1
043D21A,United States,1
043L2OA,United States,1
045121A,United States,1
045C21A,United States,1
045CZ1A,United States,1
045G21A,Germany,1
0461321A,United States,1
046421A,Hungary,1
04821A,United Kingdom,1
048L21A,United States,1
049CZ1A,United States,1
049E21A,United States,1
04IL20A,United States,1
050C21A,United States,1
050D22A,United States,1
052B22A,Morocco,1
053C21A,United States,1
053D22A,United States,1
054A22A,United States,1
054E21A,United States,1
055F22B,United States,1
057A22A,United States,1
058F21A,United States,1
058H21A,United States,1
058HZ1A,United States,1
059E21A,United States,1
059F22A,United States,1
059H21A,United States,1
059HZ1A,United States,1
059M21A,United States,1
059M21A-MODERNA,United States,1
060A22A,United States,1
060H21A,United States,1
063B21A,United States,1
065K21A,United States,1
066021A,United States,1
066D21A,United States,1
066F21A,United States,1
066H21A,United States,1
066H22A,United States,1
067F21A,United States,1
067H21A-MODERNA,Colombia,1
067H21A-MODERNA,United States,1
067H22A,United States,1
068H21A-MODERNA,United States,1
06H21A,United States,1
06ZE21A,United States,1
070H21A,United States,1
071F,United States,1
076C21A,Montserrat,1
078J21A,United States,1
079F21A,United Kingdom,1
083J21A,United States,1
085D21A,Canada,1
088021A,Germany,1
093D21A,Canada,1
1110-20-006M20A,United States,1
1110-20-007B21A,United States,1
1110-20-022C21A,United States,1
1111-20-30130BA,United States,1
1111-20-EN6201,United States,1
1111-20-EN6208,United States,1
1111-20-EP6955,United States,1
1111-20-ER8731,Paraguay,1
1111-20-ER8731,United States,1
1111-20-ER8734,Australia,1
1111-20-ER8734,Germany,1
1111-20-ER8734,United States,1
1111-20-EW0153,United States,1
1111-20-EW0168,United States,1
1111-20-EW0176,United States,1
1111-20-EW0182,United States,1
1111-20-FC3180,United States,1
1111-20-FD0810,United States,1
1111-20-FF2587,United States,1
1111-20-FF8839,United States,1
1111-FG3527,Mexico,1
1119349007,Germany,1
1119349007,United Kingdom,1
1234,France,1
123456,Australia,1
123456,Greece,1
1802059,United States,1
1802070,United States,1
1805025,United States,1
1805029,United States,1
1805031,United States,1
180518,Thailand,1
1808069,United States,1
1820095,United States,1
1821288,Colombia,1
1822809,Italy,1
1855190,Malaysia,1
1855794,United States,1
1C005A,Germany,1
1C008A,Netherlands,1
1C009A,Netherlands,1
1D012A,Germany,1
1D014A,Germany,1
1D014A,Portugal,1
1D018A,Germany,1
1DO13A,Germany,1
1DO15A,Germany,1
1DO16A,Germany,1
1DO17A,Germany,1
1DO18A,Germany,1
1E022A,Germany,1
1EO21A,Germany,1
1F003A,Germany,1
1F030A,Luxembourg,1
1F1004A,Croatia,1
1F1004A,United States,1
1F1007A,Italy,1
1F1008A,Netherlands,1
1F1009A,Germany,1
1F1013A,Austria,1
1F1014A,Spain,1
1F1016A,Germany,1
1F1016A,Italy,1
1F1022A,Switzerland,1
1F1024A,Luxembourg,1
1F1030A,Germany,1
1F1050A,United States,1
1F1051A,United States,1
1F1052A,United States,1
1F1053A,United States,1
1F1054A,United States,1
1F1055A,United States,1
1FO38A,Germany,1
1G0440A,Canada,1
1G044A,Austria,1
1H048A,Greece,1
1H048A,Morocco,1
1H049A,Germany,1
1I061A_1101224-,United Kingdom,1
1K078A,New Zealand,1
200016A,United Kingdom,1
200017A,United Kingdom,1
200032A,Germany,1
201821A,United States,1
201A21A,Malaysia,1
203A21,United States,1
204AZIA,United States,1
205AZIA,United States,1
211021A,United States,1
212A21A,United States,1
212AZIA,Netherlands,1
212AZIA,United States,1
212C21A,Belgium,1
213C21A,United States,1
213D21A,United States,1
214001,Sweden,1
214008,Germany,1
214012,Germany,1
214014,Italy,1
214015,Germany,1
216035 (16/06/2,Latvia,1
216044,Germany,1
216045,Germany,1
21C11-01,Germany,1
21C13-05,Spain,1
21C14-02,Austria,1
21C19-01,Switzerland,1
224,Colombia,1
226008,Ireland,1
2298877,Netherlands,1
25C21A,United States,1
28231BD,Australia,1
300042698,Germany,1
300042721,Germany,1
3000495,Germany,1
3001176,Canada,1
3001442,Poland,1
3001652,Norway,1
3001939,Spain,1
3001945,Germany,1
3002179,Canada,1
3002181,Japan,1
3002182,Morocco,1
3002186,Switzerland,1
3002187,Canada,1
3002331,Canada,1
30023333,Mexico,1
3002339,Germany,1
3002339,Italy,1
3002537,Germany,1
3002538,Canada,1
3002542,Germany,1
3002544,Germany,1
3002544,Poland,1
3002614,Germany,1
3002621,United Kingdom,1
3002912,Australia,1
3002912,Norway,1
3002912,Switzerland,1
3002913,Germany,1
3002913,Norway,1
3002914,Norway,1
3002915,Australia,1
3002915,Norway,1
3002916,Norway,1
3002918,Norway,1
3002920,Norway,1
3002921,United States,1
3002929,Norway,1
300294,Norway,1
3003182,United States,1
3003188,Switzerland,1
3003602,Canada,1
3003603,Germany,1
3003604,Italy,1
3003606,Italy,1
3003658,Japan,1
3004137,Netherlands,1
3004215,Switzerland,1
3004218,Canada,1
3004219,Netherlands,1
3004233,Netherlands,1
3004492,Germany,1
3004671,Germany,1
3004675,Germany,1
3004675,United Kingdom,1
3004676,Cyprus,1
3004730,Italy,1
3004732,United Kingdom,1
3004732 MODERNA,United Kingdom,1
3004736,Singapore,1
3004737,United Kingdom,1
3004951,Germany,1
3004952,Germany,1
