# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230920-20230921
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,13228,Grand total
#EW0187,United States,1
000014A,Germany,1
000015A,Germany,1
000022A,United Kingdom,1
000040A,United Kingdom,1
000060A,Spain,1
000086A,Germany,1
000086A,Spain,1
000102A,Germany,1
000103A,Germany,1
000106A,Germany,1
000136A,Germany,1
000140A,Germany,1
000141A,Germany,1
000214A,Japan,1
0011L20A,United States,1
001A21A,United States,1
001B21A,United States,1
001C21A,United States,1
002021A,Germany,1
0022B21A,United States,1
002B21A,United States,1
002C21A,United States,1
002M21A,United States,1
004M20A,United States,1
007G21A,Germany,1
007M20A,United States,1
008B21A,United States,1
008BZ1A,United States,1
008BZIA,United States,1
008CZ1A,United States,1
010M20A,United States,1
011A21A,Germany,1
011J20A,Puerto Rico,1
011J20A,United States,1
011M20A,Puerto Rico,1
012H21B-MODERNA,Germany,1
012M20A,United States,1
013L204,United States,1
013L21A,United States,1
013L2OA,United States,1
014C21A,United States,1
014F21A,United States,1
015M20A,United States,1
016M2UA,United States,1
016N20A,United States,1
019J21A,Canada,1
020F21A,United States,1
021C21A,Germany,1
022B1A,United States,1
022M20A,United States,1
023C21A,Germany,1
023C21A,United States,1
025B21A,United States,1
025L20A,United States,1
025L2A,United States,1
027421A,United States,1
027A21A,United States,1
027E22A,United States,1
027L20A,United States,1
028A21A,United States,1
028K214,United States,1
02SJ20-2A,United States,1
030G21A,Italy,1
031G21A,Italy,1
031H21A,United States,1
032B21A,United States,1
032H21A,United States,1
032M20A,United States,1
033FZ1A,United States,1
036A21A,United States,1
036B21A,United States,1
037A21B,United States,1
037F21A,United States,1
038D21A,Guatemala,1
038K20A,United States,1
039A21A,United States,1
039B21A,United States,1
039K20A,Germany,1
039K20A,United States,1
03F21A,United States,1
040A21A,Mexico,1
040C21A,United States,1
041L20A,United States,1
042A21A,United States,1
042B21A,United States,1
042D21A,Canada,1
04321A,Canada,1
043AZIA,United States,1
045321A,Germany,1
045621A,Germany,1
045B21A,United States,1
046A21A,United States,1
047C21A,United States,1
049L21A,United States,1
050CZ1A,United States,1
050CZIA,United States,1
050E21A,United States,1
053C21A,Guatemala,1
053D22A,United States,1
056A21A,United States,1
056A22A,United States,1
058A22-2A-MODER,Germany,1
058H21A,United States,1
059E21A,United States,1
060H21A-MODERNA,United States,1
063H21A,Canada,1
064H21A,Guatemala,1
065K21A,United States,1
066D21A,United States,1
067F21A,United States,1
067H21A,United States,1
068H21A,United States,1
069H21A,United States,1
06ZEZIA,United States,1
088D21A,United States,1
092D21A,Canada,1
093D21A,Canada,1
094F21A,Italy,1
10805031,United States,1
10XE423240,Germany,1
1111-20-EW0177,United States,1
1119349007,Germany,1
12345,Israel,1
1805020,United States,1
1808609,United States,1
1808978,United States,1
1855191,United States,1
1B002A,Hong Kong,1
1C006A,Germany,1
1C007A,Germany,1
1C008A,Austria,1
1CO11A,Germany,1
1COO9A,Germany,1
1D016A,Indonesia,1
1EO21A,Germany,1
1F1006A,United States,1
1F1008A,Austria,1
1F1010A,Austria,1
1F1014A,Germany,1
1F1016A,Italy,1
1F1020A,Austria,1
1F1021,Germany,1
1F1023A,Austria,1
1F1052A,Austria,1
1F1054A,Italy,1
1GO44A,Austria,1
1H055A_1101118-,Germany,1
1H058A_1101209-,United Kingdom,1
200018A,United Kingdom,1
201AZ1A,United States,1
201F21A,Germany,1
204A21A,United States,1
206A21,United States,1
206A21A,United States,1
210004,Germany,1
210072,Poland,1
210074,Poland,1
210075,Poland,1
210093,Germany,1
210102,Hong Kong,1
211A21A,United States,1
211D21A,United States,1
212C21A,Germany,1
212C21A,Japan,1
