# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230705-20230705
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,12257,Grand total
#EP7534,United States,1
#EW0173,United States,1
(not set),Egypt,1
000004A,Italy,1
000004A,Malaysia,1
000021A,Germany,1
000030A,Japan,1
000031A,Australia,1
000035A,Chile,1
000040A,Australia,1
000049A,Australia,1
000050A,United Kingdom,1
000057A,Australia,1
000057A,Germany,1
000075A,Australia,1
000077A,Germany,1
000081A,Australia,1
000087A,Germany,1
000088A,Australia,1
000120A,Germany,1
000126A,Japan,1
000130A,Germany,1
000133A,Germany,1
000138A,Germany,1
000141A,Germany,1
000225A,Japan,1
0009C21A,United States,1
001A21A,United States,1
001B21A,Germany,1
001B21A,United States,1
002B21A,United States,1
003B21A,United States,1
003C21A,United States,1
004C21A,United States,1
005C21A,Canada,1
007D22A,Argentina,1
007H21A,United States,1
008C21A,United States,1
009C21A,United States,1
010A21A,United States,1
011D21A,Thailand,1
011L20A,United States,1
012H21A,United States,1
014M20A,United States,1
016B21A,United States,1
016G21A,Spain,1
016M20A,United States,1
017A21A,United States,1
017C21A,United States,1
019J21A,Canada,1
021L20A,United States,1
022B21A,Thailand,1
022C21A,United States,1
022D21A,Argentina,1
022F21A,Mexico,1
022M20A,Germany,1
023C21A,United States,1
024C21A,United States,1
024D21A,Argentina,1
025J20-2A,United States,1
025L20A,United States,1
027H21B,United States,1
028A21A,United States,1
028B21A,United States,1
028L20A,United States,1
030B21A,United States,1
030G21A,Italy,1
030H21B,United States,1
030L20A,United States,1
030M21A,Chile,1
031A21A,United States,1
031H21A,United States,1
031M20A,United States,1
032B21A,United States,1
032M20A,United States,1
032M2OA,United States,1
0331211/1808980,Thailand,1
033B21A,Thailand,1
033H21A,United States,1
033K21-2A,United States,1
034A21A,United States,1
034F21A,United States,1
036B21A,United States,1
037A21B,United States,1
039A21A,Canada,1
039B21A,United States,1
039K20A,Germany,1
039K20A,Poland,1
039K30A,France,1
041B21A,United States,1
041L201A,United States,1
042B21A,United States,1
04321A,Germany,1
043AZIA,Colombia,1
043D21A,United States,1
0451321A,Canada,1
046L21A,United States,1
047C21A,United States,1
048B21A,United States,1
048F21A,United States,1
048L21A,United States,1
048LZ1A,United States,1
051F21A,United States,1
053E21A,United States,1
066B21A,Chile,1
066H21A,United States,1
067H21A-MODERNA,United States,1
088D21A,United States,1
091D21A,United States,1
091F21A,France,1
093D21A,Canada,1
10018A,Germany,1
10XE423240,Germany,1
10XE423240,Spain,1
1111-20-EL9266,Canada,1
1111-20-ER8735,United Kingdom,1
1111-20-EW0176,United States,1
1111-20-EW0191,United States,1
1111-20-FD0810,Canada,1
1234,Australia,1
1805019,Canada,1
1805025,Canada,1
1808986,United States,1
1816024,United States,1
1816027,United States,1
1821287,Spain,1
1855191,Canada,1
1855191,United States,1
1C007A,Germany,1
1C008A,Germany,1
1C00BA,Germany,1
1CO11A,Germany,1
1D016A,Switzerland,1
1DO12A,Germany,1
1DO14A,Germany,1
1E021A,Italy,1
1E021A,Monaco,1
1E024A,Germany,1
1E026A,Monaco,1
1F036A,Germany,1
1F1006A,Italy,1
1F1009A,France,1
1F1010A,Germany,1
1F101A,United States,1
1F1021A,Germany,1
1F1054A,Italy,1
1H048A,Germany,1
1H059A_1101204-,Canada,1
1K081A,Italy,1
201A21A,Canada,1
201A21A,United States,1
202A21A,Colombia,1
202A21A,United States,1
204321A,France,1
204A21A,United States,1
204B21A,United States,1
206A21A,Canada,1
2100696_1110525,Australia,1
212C21A,United States,1
213D21A,United States,1
214007,Germany,1
214009,France,1
214012,Germany,1
216001,Spain,1
21C10-03,Austria,1
21C13-05,Spain,1
21C18-01,Germany,1
29125BA,Mexico,1
30001659,Canada,1
3000427,Canada,1
3000489,Canada,1
3000493,Austria,1
3001442,Italy,1
3001530,Canada,1
3001531,Canada,1
3001650,Hungary,1
3001651,Germany,1
3001653,Canada,1
3001653,France,1
3001657,Canada,1
3001659,United Kingdom,1
3001938,Austria,1
3001942,Austria,1
3001944,Austria,1
3001945,Austria,1
3001946,Hungary,1
3002181,Japan,1
3002185,Japan,1
3002186,Switzerland,1
3002332,United Kingdom,1
30023333,Australia,1
3002336,Canada,1
3002538,Canada,1
3002542,Germany,1
3002545,Italy,1
30025TB,Germany,1
3003182,Japan,1
3003188,Switzerland,1
3003190,Japan,1
3004229,Japan,1
3004495,Japan,1
3004666,Japan,1
3004667,Indonesia,1
3004732,United Kingdom,1
3004737,United Kingdom,1
3004952,Austria,1
3004955,Belgium,1
3004955,Switzerland,1
3005688,Canada,1
3005700,Japan,1
3005702,Japan,1
3006270,Sweden,1
3006323,Italy,1
30125BA,United States,1
301308A,United States,1
301358A,United States,1
30135BA,United States,1
301458A,Mexico,1
301458A,United States,1
301558A,United States,1
31043TB,Germany,1
32010BD,Brazil,1
3203080,Puerto Rico,1
33025BD,Panama,1
33025BD,United States,1
33026BD,United States,1
331308A,United States,1
33130BA,Canada,1
33233TB,Switzerland,1
34523TB,Germany,1
4120Z003,United States,1
4120Z029,Canada,1
4301MF013,Canada,1
4301MF013,Germany,1
4381507,Argentina,1
6023860,United States,1
7006320005,Germany,1
AB0010,United Kingdom,1
ABV3374,Germany,1
ABV8149,France,1
ABV9317,Germany,1
ABW2187,France,1
ABW2586,Germany,1
ABW4731,Brazil,1
ABW4740,Spain,1
ABW7189,Germany,1
ABX5182,Germany,1
ABZ 5320,Germany,1
ABZ5320,Germany,1
ACB4692,Germany,1
ACB5318,Germany,1
BNT16262,Canada,1
BNT162B2,Chile,1
BNT162B2,Dominican Republic,1
BNT162B2,United States,1
C202105084,Malaysia,1
C202109123,Malaysia,1
CH-B:SCTD6,Germany,1
CH-BER9480,Germany,1
CH.-B. FD9234,Germany,1
CH.-B.: 1F1023A,Germany,1
CH.-B.: EX8680,Germany,1
CH.-B.: FD7958,Germany,1
CH.-B.: FE6975,Germany,1
CH.-B.: SCWF3,Germany,1
CH.-B.:ACB9148,Germany,1
CH.B.:EX3599,Germany,1
CHBER9480,Germany,1
EE3592,United States,1
EH9899,United States,1
EJ6134,Bulgaria,1
EJ6134,Canada,1
EJ6134,Finland,1
EJ6134,Germany,1
EJ6134,Italy,1
EJ6134,New Zealand,1
EJ6788,Germany,1
EJ6790-14-006,United Kingdom,1
EJ6790-14-007,United Kingdom,1
EJ6790/V1051,United Kingdom,1
EJ6796,Germany,1
EJ6797,Serbia,1
EK4237,Israel,1
EK4240,Israel,1
EK4241,Israel,1
EK4244,Germany,1
EK9231,United States,1
EK9788,Poland,1
EL0142,United States,1
EL0200,Israel,1
EL0203,Canada,1
EL1406,Canada,1
EL1491,Poland,1
EL3249,United States,1
EL4237,Israel,1
EL5730,United States,1
EL7834,United Kingdom,1
EL8713,Germany,1
EL8723,Serbia,1
EL9262,United States,1
EL9264,United States,1
EL9266,United States,1
EL9267,United States,1
EN1185,United Kingdom,1
EN5318,Croatia,1
EN5318,Switzerland,1
EN5318,United Kingdom,1
EN6198,United States,1
"EN6201, EN6208",United States,1
EN6202,Canada,1
EN6202,United States,1
EN8737,United States,1
EP2163,Malaysia,1
EP2166,Albania,1
EP6775,Chile,1
EP7533,United States,1
EP7534,United States,1
EP9605,Malaysia,1
ER1742,United States,1
ER1749,United Kingdom,1
ER2613,Switzerland,1
ER2659,Japan,1
ER7449,Australia,1
ER7449,Thailand,1
ER8733,United States,1
ER8737,United Kingdom,1
ER9449,Chile,1
ET0384,United Arab Emirates,1
ET1831,Austria,1
ET1831,Spain,1
ET2838,United States,1
ET3045,Thailand,1
ET3674,Japan,1
ET6956,Hungary,1
ET9096,Netherlands,1
EW0153,United States,1
EW0172,Germany,1
EW0173,United States,1
EW0177,United States,1
EW0180,United States,1
EW0181,United States,1
EW0185,United States,1
EW0185H,United States,1
EW0186,United States,1
EW0188,United States,1
EW0191,United States,1
EW0195,Peru,1
EW0198,United States,1
EW0201,Japan,1
EW0207,Japan,1
EW0217,Thailand,1
EW1076,United States,1
EW187,Thailand,1
EW2239,Austria,1
EW2239,Spain,1
EW3344,Canada,1
EW4109,United Kingdom,1
EW4811,Japan,1
EW4815,Hungary,1
EW6126,Australia,1
EW6126,Finland,1
EW6126,Germany,1
EWO 171,United States,1
EWO176,United States,1
EWO216,Canada,1
EX 8679,Germany,1
EX 8680,Germany,1
EX0893,France,1
EX2405,Australia,1
EX423,Israel,1
EX4243,Israel,1
EX6564,Malaysia,1
EX6564,Thailand,1
EX8670,Germany,1
EX8679,Indonesia,1
EY0580,Chile,1
EY0584,United States,1
EY2172,Germany,1
EY2173,Japan,1
EY3014,Austria,1
EYO579,Colombia,1
F58762,Peru,1
FA1027,United Kingdom,1
FA2453,Japan,1
FA4598,Austria,1
FA5831,Italy,1
FA5833,Germany,1
FA6780,Egypt,1
FA6780,United States,1
FA7082,Netherlands,1
FA7338,Japan,1
FA7455,Germany,1
FA7478,Brazil,1
FA7483,Ecuador,1
FA7484,Puerto Rico,1
FA7485,Switzerland,1
FA7485,United States,1
FA8016,France,1
FA8721,Canada,1
FA9093,Dominican Republic,1
FA9095,Brazil,1
FA9096,Dominican Republic,1
FA9100,Colombia,1
FB-ER8735,United Kingdom,1
FC 1440,Germany,1
FC 5436,Poland,1
FC0618,Malaysia,1
FC1131,Spain,1
FC1436,Germany,1
FC2495,Mexico,1
FC3095,Indonesia,1
FC3143,Netherlands,1
FC3143,Spain,1
FC3181,Egypt,1
FC3182,United States,1
FC3558,Australia,1
FC3661,Germany,1
FC5029,Malaysia,1
FC5089,Italy,1
FC8736,Japan,1
FC8889,Norway,1
FC9880,Japan,1
FD 7218,United States,1
FD0168,Malaysia,1
FD0348,Japan,1
FD0807,Canada,1
FD1921,Italy,1
FD5613,United Kingdom,1
FD6208,Canada,1
FD684,Canada,1
FD6840F,Canada,1
FD7128,United States,1
FD7204,France,1
FD7204,Germany,1
FD7206,Poland,1
FD7208,Canada,1
FD7208,Panama,1
FD7222,Brazil,1
FD8274,Poland,1
FE1248,Spain,1
FE1248,Türkiye,1
FE1510,Türkiye,1
FE1573,Netherlands,1
FE2083,Türkiye,1
FE2090,Türkiye,1
FE2153,Türkiye,1
FE2296,Finland,1
FE2296,Türkiye,1
FE2336,Türkiye,1
FE2590,Türkiye,1
FE2707,Cyprus,1
FE3064,Türkiye,1
FE3380,Ecuador,1
FE3590,United States,1
FE3594-PFIZER-2,United States,1
FE5435,Australia,1
FE6208,Ecuador,1
FE6208,Germany,1
FE6208,United States,1
