# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230628-20230628
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,5741,Grand total
#036A21A,United States,1
#038K20A,United States,1
#EL3248,United States,1
#EN6204,United States,1
000019A,Canada,1
000043A,Australia,1
000117A,Germany,1
000140A,Germany,1
001C21A,United States,1
0029A21A,United States,1
005C21A,United States,1
005M21A,United States,1
007M20A,United States,1
008B212A,United States,1
011A21A,United States,1
011J20A,Canada,1
012M20A,United States,1
013F21A,United States,1
013M20A OR 0BM2,United States,1
014C21A,United States,1
014M20A,United States,1
015M20A,United States,1
016B22A,United States,1
016H22A,United States,1
017G21A,Italy,1
018B21A,United States,1
022B21A,United States,1
025A20A,United States,1
025B21A,United States,1
026B21A,United States,1
026C21A,United States,1
026L20A,United States,1
026L2OA,Australia,1
027A21A,United States,1
027B21A,United States,1
027H21B,United States,1
028K21A-MODERNA,United States,1
028L20A,Canada,1
029L20A,United States,1
030M20A,United States,1
030MZ0A,United States,1
031G21A,Spain,1
036B21A,Indonesia,1
037A22B,United States,1
037B21A,United States,1
038C21A,Indonesia,1
038C21A,United States,1
038K204,United States,1
038K20A,Brazil,1
038K2OA,United States,1
038KZ0A,United States,1
039A21A,United States,1
041A21A,United States,1
041B21A,United States,1
043B21A,United States,1
044A21A,United States,1
045B21A,United States,1
045G21A,Germany,1
046C21A,United States,1
049021A,United States,1
04IL20A,United States,1
050C21A,United States,1
050CZ1A,United States,1
050D22A,United States,1
053D22A,Brazil,1
056M21A,United States,1
058E21A,United States,1
059E21A,United States,1
061E21A,United States,1
062H21A,Canada,1
067H21A-MODERNA,United States,1
069F21A,United States,1
070H21A,United States,1
093D21A,Canada,1
1111-FJ1611,United States,1
1234,United States,1
1808980,United States,1
1822811,United States,1
1C006A,Germany,1
1C008,Germany,1
1C008A,Germany,1
1C00BA,Germany,1
1D016A,Germany,1
1D016A,United States,1
1D017A,Germany,1
1DO15A,Germany,1
1E024A,Germany,1
1E028A,Germany,1
1F030A,Germany,1
1F1010A,Germany,1
1F1013A,Germany,1
1F1023A,Germany,1
1F1024A,Germany,1
1H049A,Germany,1
200028A,Germany,1
201A21A,United States,1
207A21A,United States,1
211D21A,United States,1
212A21A,United States,1
214007,Germany,1
216044,Germany,1
21C19-01,Ireland,1
2FV96J,Germany,1
30001650,Switzerland,1
3000494,Italy,1
3001176,Canada,1
30011TB,Germany,1
3001655,Italy,1
3002182,Canada,1
3002186,Switzerland,1
3002187,Canada,1
3003603,Germany,1
3003608,Germany,1
3004217,Germany,1
3004222,United Kingdom,1
3004730,Belgium,1
3005238,Croatia,1
3005238,Switzerland,1
3005837,Switzerland,1
3009737,Germany,1
301308A,United States,1
303108A,United States,1
31043TB,Germany,1
31065BD,Brazil,1
31065BD,Germany,1
31101TB,Germany,1
32030BD,United States,1
330308D,United States,1
33036BD,United States,1
331308A,Canada,1
6H9702,United States,1
80777027310,United States,1
840539006,Australia,1
939903,Australia,1
939904,United States,1
AB0006,United Kingdom,1
ABV3025,Germany,1
ABV4048,Germany,1
ABV4678,Germany,1
ABV5839,Germany,1
ABV8877,Belgium,1
ABW4330,Germany,1
ABW4805,Austria,1
ABW4805,Croatia,1
ABW7197,Croatia,1
ABZ8354,Germany,1
ACB5317,Germany,1
ACB9330,Ireland,1
ACB9471,Germany,1
ACB9929,Germany,1
ACC0306,Germany,1
BFF0900,Germany,1
BNT162B2,Canada,1
BNT162B2,United Kingdom,1
CH-B:SCTD6,Germany,1
CH.-B. FD9234,Germany,1
CH.-B. FD9234,United States,1
CH.B EX3510,Germany,1
CH.B.1C006A,Germany,1
CH.B.:EX3599,Germany,1
COMIRNATY EU/1/,Germany,1
COMIRNATY EX867,Germany,1
E56789,Slovakia,1
EH9899,United States,1
EH9899 03/2021,United States,1
EJ6134,Austria,1
EJ6134,Germany,1
EJ6785,France,1
EJ6788,Germany,1
EJ6789,France,1
EK1768,United Kingdom,1
EK4176,United Kingdom,1
EK4176,United States,1
EK9231,Germany,1
EK9231,United States,1
EK9321,United States,1
EK9788,Germany,1
EK9798,Spain,1
EK9896,Malaysia,1
EL1284,United States,1
EL149104/2021,Germany,1
EL8982,United States,1
EL9263,Germany,1
EL9264,United States,1
EL9269,United States,1
EM4965,United Kingdom,1
EM9810,United States,1
"EM9810, EN6202",United States,1
EN0150,Germany,1
EN0151,Germany,1
EN0158,Germany,1
EN0173,Germany,1
EN0176,Germany,1
EN1185,United Kingdom,1
EN1201,Germany,1
EN1283,Germany,1
EN3924,United Kingdom,1
EN5318,United States,1
EN6198,United States,1
EN6204,United States,1
EN6206 AND ER87,United States,1
EN6207,United States,1
EN6208,United States,1
EP2166,Lithuania,1
EP6955,United States,1
EP9598,Germany,1
ER 9449,United Kingdom,1
ER0866,Lebanon,1
ER7812,Germany,1
ER7934,United Kingdom,1
ER8727,Cayman Islands,1
ER8727 PFIZER,United States,1
