# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230609-20230609
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,3931,Grand total
#017B21A,Poland,1
#039K20A,United States,1
000037A,Germany,1
000057A,Germany,1
000058A,Germany,1
000060ABS,Germany,1
000074A,Germany,1
000095A,Germany,1
000141A,Germany,1
001A214,United States,1
001M21A,United States,1
003C21A,United States,1
007J212A,United States,1
011A21A,United States,1
015M20A,United States,1
016E21A,Canada,1
016J212A,United States,1
016M20A,United States,1
017B21A,Poland,1
017B21A,United States,1
018J21A,Netherlands,1
019B21,United States,1
019F21A,United States,1
01DE,Germany,1
021C21A,United States,1
024021A,Canada,1
025A1A,United States,1
025J20-20A,United States,1
025J20-214,United States,1
025J20-2A,United States,1
025J20A,United States,1
025L21B,United States,1
027A21A,United States,1
029K20A,United States,1
029L20A,United States,1
029LZ0A,United States,1
029LZOA,United States,1
030A21A,United States,1
031620A,United States,1
031M20A,United States,1
032421A,United States,1
033B21A,United States,1
035C21A,United States,1
036C12A,United States,1
036C21A,United States,1
038AZ1A,United States,1
038B21A,United States,1
039K20A,United States,1
040321A,Kuwait,1
040B21A,Poland,1
042A21A,United States,1
045D21A,Canada,1
045J21A,United States,1
047A21A,United States,1
048F21A,United States,1
049C21A,United States,1
050E21A,United States,1
051C21A,United States,1
057M21A,United States,1
065F21A,United States,1
085D21A,Canada,1
088D21A,United States,1
093F21A,Austria,1
10035926710002,Germany,1
1111-20-EW0177,United States,1
1111-FG3527,Kuwait,1
1234,Kuwait,1
1802025,United States,1
1802070,United States,1
180270,United States,1
1808978,United States,1
1816024,United States,1
1822811,Dominican Republic,1
182811,Algeria,1
1C007A,Germany,1
1C008A,Germany,1
1D013A,Germany,1
1D014A,Germany,1
1D020A,Germany,1
1F1009A,Italy,1
1F1010A,Germany,1
1F1013A,Austria,1
1F1024A,Germany,1
1F1027A,Germany,1
1F1042A,Germany,1
1G042A,Taiwan,1
1G044A,Hungary,1
206A21A,United States,1
207A21A,United States,1
211D21A,United States,1
214001,Austria,1
30011TB,Germany,1
3002188,Austria,1
3002330,Portugal,1
3002546,United States,1
3004229,Japan,1
3005240,Japan,1
3005286,Japan,1
3005287,United Kingdom,1
301458,United States,1
3014584,United States,1
30145B4,United States,1
31134TB,Finland,1
32030BD,United States,1
4120Z001,Croatia,1
4120Z001,South Africa,1
4120Z001,United Kingdom,1
4120Z003,Kuwait,1
4302MF023,United States,1
488024,Finland,1
7006320003,Germany,1
939902,United States,1
939904,United States,1
939905,United States,1
A57148B,United States,1
AB0010,United Kingdom,1
ABW3644,Germany,1
ABX5105,Germany,1
ACB4694,Germany,1
ACC0681,Germany,1
CH.-B.: EX3510,Germany,1
CH.-B.: FD7958,Germany,1
CH.-B.:ET3674,Germany,1
CH.-B.:FC3095,Germany,1
CH.-B.:FE6975,Germany,1
CH.B.:EX3599,Germany,1
CTMAV503,Croatia,1
EH9899,United States,1
EJ0553/V0003,Germany,1
EJ0724,South Africa,1
EJ6136,Italy,1
EJ6796,Germany,1
EJ6796,United States,1
EJ6797,United States,1
EK9788,Germany,1
EL0203,United States,1
EL1203,Germany,1
EL1283,United States,1
EL1406,Canada,1
EL1406,United States,1
EL1484,Italy,1
EL1491,United States,1
EL1749,United Kingdom,1
EL3248,United States,1
EL9262,United States,1
EL9266,United States,1
EM26375,United States,1
EM9809,United States,1
EN200,United States,1
EN205,United States,1
EN206,United States,1
EN2600,United States,1
EN2604,United States,1
EN2605,United States,1
EN2613,United States,1
EN5813,United States,1
EN600,United States,1
EN60202,United States,1
EN60207,United States,1
EN6023,United States,1
EN6024,United States,1
EN6026,United States,1
EN6027,United States,1
EN6028,United States,1
EN606,United States,1
EN607,United States,1
EN608,United States,1
EN6128,United States,1
EN6193,United States,1
EN6204,Italy,1
EN6205,United States,1
EN6500,United States,1
EN6701,United States,1
EN6918,United States,1
EN8734,United States,1
EN9809,United States,1
EN9810,United States,1
EN9899,United States,1
EP7533,United States,1
ER1742,Canada,1
ER7449,Croatia,1
ER8729,United States,1
ER8730,United States,1
ER8733,United States,1
ER8736,United States,1
ER9470,Germany,1
ET1831,Finland,1
EVV0177,United States,1
EW0150,United States,1
EW0151,United States,1
EW0153,United States,1
EW0161,United States,1
EW0171,United States,1
EW0181,United States,1
EW0182,United States,1
EW0187,Brazil,1
EW0191,United States,1
EW0193,Canada,1
EW0199,Canada,1
EW0221,Canada,1
EW0710,United States,1
EW8904,Germany,1
EWO175,United States,1
EWO185,United States,1
EWO198,United States,1
EWO199,United States,1
EX3599,Germany,1
EX6564,Australia,1
EY0578,Canada,1
EY0585,New Zealand,1
EY4825,Canada,1
FA5829,Austria,1
FA5829/31-08-20,Austria,1
FA5831,Italy,1
FA5833,Australia,1
FA7484,United States,1
FA9091,Canada,1
FC 2473,United States,1
FC 3180,United States,1
FC 3181,United States,1
FC 3183,United States,1
FC 3184,United States,1
FC1440,United States,1
FC2336,Finland,1
FC2336,United States,1
FC3100,United States,1
FC3143,United States,1
FC3181,United States,1
FC3481,United States,1
FC3661,United States,1
FC3784,United States,1
FC9001,Kuwait,1
FD0168F,Austria,1
FD1945,Saudi Arabia,1
FD5613,United States,1
FD6840,Ireland,1
FD7204,United States,1
FD7218,United States,1
FE 3592,United States,1
FE2625,Italy,1
FE4721,Poland,1
FE6208,Germany,1
FE6208,Switzerland,1
FE8206,Japan,1
FE8236,Saudi Arabia,1
FF2389,United States,1
FF2595,Canada,1
FF2834,Austria,1
FF2834,Hungary,1
FF2888,United States,1
FF8111,Kuwait,1
FF8838,United States,1
FF8839,United States,1
FG0978,Japan,1
FG2527,United States,1
FG2872,Malaysia,1
FG3524,Brazil,1
FG6431,Australia,1
FH0161,Italy,1
FH2528,Singapore,1
FH3023,Japan,1
FH4092,Australia,1
FJ1611,United States,1
FJ1614,United States,1
FJ1620,United States,1
FJ4991,United States,1
FJ6367,United States,1
FJ6369,United States,1
FK6268,Australia,1
FK6303,Italy,1
FL3197,United States,1
FL3203,Canada,1
FL3209,United States,1
FL3209-PFIZER-2,United States,1
FL3210,Canada,1
FL5729,Australia,1
FM0698,United States,1
FM7785,Netherlands,1
FN2726,Japan,1
FN2908,United States,1
FN4817,United Kingdom,1
FP1980,Germany,1
FP7136,United States,1
FP8191,Italy,1
FP8545,Italy,1
FT8471,Canada,1
GD9571,Japan,1
