# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230402-20230402
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,10052,Grand total
#011M20A,United States,1
#206A21A,United States,1
#211A21A,United States,1
#EL9262,Canada,1
#EN6199,United States,1
#EW0175,United States,1
#EW0196,United States,1
#FH8028,United States,1
000057A,Portugal,1
0008C21A,United States,1
0025L20A,United States,1
003821A,United States,1
003821A   COVID,United States,1
003AZIA,United States,1
0044A21A,United States,1
00621BA,United States,1
010M2019,United States,1
010M20A,United States,1
011J20A,United States,1
012M2019,United States,1
015M20A,United States,1
017E21A,United States,1
018B21A,Germany,1
018B21A,United States,1
019B21A,United States,1
019B21A;,United States,1
021B21A-1,United States,1
025L20A.,United States,1
027A21A,United States,1
029A21A,United States,1
030L20A,United States,1
030MZOA,United States,1
"036B21A, 004C21",United States,1
039K20A,Austria,1
039K20A,Canada,1
039K20A,Germany,1
03H121A,United States,1
03H21A,United States,1
041L20A,United States,1
042A21A,United States,1
042B21A,United States,1
043A21A;,United States,1
044A21A,United States,1
045A21A,United States,1
045B21A,Austria,1
045B21A,Germany,1
045B21A,United States,1
045J21A,United States,1
046B21A,United States,1
047C21A,United States,1
047C21A.,United States,1
055K21A,Canada,1
062B20A,United States,1
063B22A,United States,1
1805029,United States,1
1805031,United States,1
1822809;211A21A,United States,1
1855191,United States,1
1855194,United States,1
1B004A,Germany,1
1D020A,Germany,1
1F1057A,Australia,1
1H048A,Germany,1
2. 3005835,Sweden,1
204B21A,United States,1
205A21A,United States,1
205A2A,United States,1
211A21A,United States,1
211A21A / PUBLI,United States,1
"211A21A, 182280",United States,1
212C21A,United States,1
21C13-04,United States,1
3001943,Italy,1
3001944,Germany,1
3004224,Norway,1
30130BA,United States,1
30135BA,Brazil,1
30155BA,United States,1
31043TB,Germany,1
32010BD,Brazil,1
320308D,United States,1
35040BD,Costa Rica,1
A211A21A,United States,1
ACB5038,Germany,1
BNT03 EM0477,Netherlands,1
CH-B.:ACB8967,Germany,1
CH.-B.: 1D020A,Germany,1
CH.-B.: ACB8967,Germany,1
CH.-B.:1E029A,Germany,1
CH.-B.:31043TB,Germany,1
CH.-B.:FC3095,Germany,1
CH.-B.:SDEJ8,Germany,1
CH..-B.:1D020A,Germany,1
DU.-B .SDEJ8,Germany,1
EJ6790,Netherlands,1
EJ6795,Canada,1
EJ6795,Poland,1
EK4176,Austria,1
EK9788,Mexico,1
EL0739-EM4965-F,United Kingdom,1
EL3302 5/21,United States,1
EL9262,Canada,1
EM0477,Canada,1
EM0477,Portugal,1
EM4965,United Kingdom,1
EN1196,Kuwait,1
EN5318,Portugal,1
EN6198,Portugal,1
EN6198,United States,1
EN6199,United States,1
EN6200,Portugal,1
EN6201,Canada,1
EN6201,Germany,1
EN6201,Portugal,1
EN6205,United States,1
"EN6205, ER8730",United States,1
EN6205/EW0158,United States,1
EN6208,India,1
EN6208,United States,1
EP6955,United States,1
ER1742,Canada,1
ER8735,United States,1
ER8737,United States,1
ER8737/EW0172,United States,1
EW0150,United States,1
EW0161,United States,1
EW0162,United States,1
EW0169,United States,1
EW0173,United States,1
EW0177,United States,1
EW0178,United States,1
EW0180,United States,1
EW0181,United States,1
EW0182,United States,1
EW0191,United States,1
EW0193,United States,1
EW0196,United States,1
EW0196 09/2021,United States,1
EW0196 AND EW01,United States,1
EW0196 HRS,United States,1
EW0196P,United States,1
EW0198,United States,1
EW0217,United States,1
EW0221,Canada,1
EW0221,United States,1
EW4811,Japan,1
EX0904,Canada,1
EX3599,Germany,1
EY7015,Austria,1
FA4598,Hungary,1
FA7455,United States,1
FA74847,United States,1
FA7485,United States,1
FA8721,United States,1
FA9099-CC02,Canada,1
FC2336,Norway,1
FC3143,Netherlands,1
FC3182,United States,1
FC31870,United States,1
FC31874,United States,1
FC3209,United States,1
FD0809,United States,1
FD0810,Canada,1
FD4555,Austria,1
FD4555,France,1
FD6840,France,1
FD6840,United States,1
FD7204,Canada,1
FD7206-CC05,Canada,1
FD7209,Brazil,1
FD8448,United States,1
FD9234,Germany,1
FE3180,United States,1
FE3592,Brazil,1
FE6208,Denmark,1
FE6208,France,1
FE6208,Mexico,1
FE6208,Switzerland,1
FE8244,Hungary,1
FF0680,Germany,1
FF0680,United States,1
FF2595,Canada,1
FF8841,United States,1
FG6273,Netherlands,1
FH3023,Japan,1
FJ1620,United States,1
FK8911,Brazil,1
FK9413,United Kingdom,1
FK9895,United States,1
FL1072,New Zealand,1
FL3210,Canada,1
FM3802,United Kingdom,1
FN1665,United States,1
FN2908,United States,1
FT8762,United States,1
FW4423,Brazil,1
GD1857,United States,1
GJ5342,United States,1
GL8592,Japan,1
J&J 041A21A,United States,1
J07BX03,France,1
J07BX03     EU/,France,1
JANSSEN 041A21A,United States,1
JANSSEN 043A21A,United States,1
JANSSEN 206A21A,United States,1
JJ 206A21A,United States,1
JSN1805031,United States,1
L1211A21A,United States,1
L:EN6203,United States,1
LOT 036B21A),United States,1
LOT216045,Germany,1
MOD; 006B21A,United States,1
MODERNA 045B21A,Austria,1
MODERNA 045J21A,United States,1
O13L20A,United States,1
O26L20A,United States,1
O28K21A,United States,1
PCA0007,France,1
PFIZER EN6199,United States,1
PFIZER EN6203,United States,1
PFIZER ER1742,Canada,1
PFIZER ER8737,United States,1
PFIZER EW0172,United States,1
PFIZER EW0181,United States,1
PFIZER EW0196,United States,1
PFIZER FA6780,United States,1
PFIZER FJ1614,United States,1
PFIZER30155BA,United States,1
PFIZEREN6198,United States,1
PFIZERFA6780,United States,1
PFREL3302,United States,1
PFZ FK9413,United Kingdom,1
PV46671,United Kingdom,1
SCRM8,Germany,1
SCTJ2,Germany,1
SDEJ8.,Germany,1
SDEW9,Germany,1
#025L20A,United States,2
#041A21A,United States,2
#EN6203,United States,2
#FA7484,United States,2
008C21A,United States,2
008C21A.,United States,2
021B21A,United States,2
024M20A,United States,2
036B21A AND 027,United States,2
043A21A,United States,2
1808980,Brazil,2
202A221A,United States,2
3005835,Sweden,2
EL3302,United States,2
EN6205 PFIZER,United States,2
ER9480,Germany,2
EW0151,United States,2
EW0171,United States,2
EW0172,United States,2
EW0175,United States,2
EW0176,United States,2
FA6780,United States,2
FA7484 FA6780,United States,2
FA9091,Canada,2
FD6840,Germany,2
FE6208,Austria,2
FE6208,Canada,2
FE6208,Germany,2
FF2782,Japan,2
FH8028,United States,2
FJ1614,United States,2
FM2908,United States,2
FP4554,United States,2
FX5095,United States,2
PFIZER EN6205,United States,2
#024M20A,United States,3
(not set),Tanzania,3
0036B21A,United States,3
036B21AON DAY 8,United States,3
EJ1686,United States,3
FA7484 PFIZER,United States,3
FA9099,Canada,3
FC3187,United States,3
FD0168,Austria,3
FD7206,Canada,3
FF2589,United Kingdom,3
(not set),Morocco,4
039K20A,United States,4
FA7484,United States,4
FE6208,United States,4
LOT # EW0196,United States,4
(not set),French Polynesia,5
036B21A,United States,5
4302MF028,Spain,5
EN6201,United States,5
(not set),Chile,6
(not set),Paraguay,6
(not set),Peru,6
FA8721,Canada,6
(not set),Belize,7
(not set),Bulgaria,8
(not set),Serbia,8
(not set),Thailand,8
(not set),India,9
(not set),Kenya,9
(not set),Greece,10
(not set),Finland,11
(not set),Honduras,11
(not set),Lithuania,11
(not set),Antigua & Barbuda,12
(not set),Israel,12
(not set),South Africa,12
(not set),Croatia,13
(not set),Nepal,16
(not set),Philippines,17
(not set),Kuwait,20
(not set),Panama,20
(not set),Dominican Republic,23
(not set),Guatemala,23
(not set),Belgium,27
(not set),Indonesia,28
(not set),Ireland,29
(not set),Argentina,31
(not set),New Zealand,32
(not set),Colombia,33
(not set),Portugal,38
(not set),Denmark,43
(not set),Sweden,45
(not set),Mexico,51
(not set),Norway,56
(not set),Spain,59
(not set),Slovenia,73
(not set),Australia,74
(not set),Hungary,88
(not set),Switzerland,99
(not set),Brazil,106
(not set),Costa Rica,129
(not set),Romania,154
(not set),Poland,158
(not set),Italy,185
(not set),Netherlands,214
(not set),France,233
(not set),Japan,253
(not set),United Kingdom,329
(not set),Austria,558
(not set),Canada,694
(not set),Germany,1771
(not set),United States,3798

