# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230605-20230605
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,5166,Grand total
#EW0187,United States,1
000004A,Italy,1
000030A,Italy,1
000033A,Italy,1
000054A,Italy,1
000075A,Italy,1
000109A,Germany,1
000125A,Germany,1
000133A,Germany,1
0011D21A,United States,1
002A21,United States,1
002B21A,United States,1
002C21A,United States,1
002F21A,United States,1
003C21A,United States,1
006D21A,United States,1
006DZ1A,United States,1
006M21A,United States,1
007C21A,United States,1
011D21A,United States,1
012A21A,United States,1
012H21B,United States,1
012M20A,United States,1
013F21A,United States,1
015M20A,Iceland,1
017G21A,Italy,1
019B21A,United States,1
019F21A,France,1
020B21A,United States,1
020F21A,United States,1
020H22A,United States,1
021C21A,United States,1
024M2OA,United States,1
025A21A,United States,1
025B21A,United States,1
025C20A,United States,1
025CZIA,United States,1
026B21A,United States,1
027H21B,United States,1
029A21A,United States,1
030421A,Australia,1
030G21A,Italy,1
030H21B,United States,1
031M20A,United States,1
032B21A,United States,1
036A21A,United States,1
036B21A,United States,1
037F21A,United States,1
038B21A,United States,1
039A21A,United States,1
039K20A,Belgium,1
040A21A,United States,1
042B21A,United States,1
042G21A,Germany,1
042J21A,United States,1
042L20A,United States,1
043A21A,United States,1
043B21A,United States,1
044D21A,Canada,1
045A21A,United States,1
045AZIA,United States,1
045B21A,United States,1
048A21A,United States,1
049B21A,United States,1
049CZ1A,United States,1
052C21A,United States,1
052E21A,Canada,1
054C21A,United States,1
056A22A,United States,1
057M21A-MODERNA,United States,1
058H21A,United States,1
059M21A-MODERNA,Poland,1
061E21A,Canada,1
061E21A,United States,1
062E21A,Canada,1
083J21A,United States,1
12345,Italy,1
1805031,United States,1
1821286,United States,1
1822809,United States,1
1855190,United States,1
1855791,United States,1
1855794,United States,1
1C006A,Germany,1
1C011A,Germany,1
1DO15A,Germany,1
1E028A,Germany,1
1F030A,Germany,1
1F1010A,Germany,1
1F1023A,Italy,1
1F1024A,Germany,1
1F1027A,Germany,1
1G040A,Germany,1
1G044A,Austria,1
202AZIA,United States,1
205A21A,United States,1
207A21A,United States,1
210004,Germany,1
21C11-01,Germany,1
3001177,Switzerland,1
3001415,Germany,1
3001530,Switzerland,1
3001653,Switzerland,1
3001944,Germany,1
3001946,Italy,1
3002182,Canada,1
3002186,Switzerland,1
3002339,Spain,1
3002537,Germany,1
3002543,Italy,1
3003602,Spain,1
3003603,Germany,1
3003655,Italy,1
3005238,Switzerland,1
3005244,Italy,1
3005689,Italy,1
3005885,Spain,1
3005888,United Kingdom,1
3006321,Italy,1
301308A,United States,1
30135BA,United States,1
30891TB,Australia,1
30891TB,Germany,1
31025BD,Spain,1
33025BD,United States,1
3302680,United States,1
33130BA,United States,1
33361TB,Italy,1
4301MF009,Australia,1
49269018,Italy,1
7680682250011,Germany,1
840539006,Portugal,1
ABV2856,Italy,1
ABV4678,Germany,1
ABV5443,Australia,1
ABV5443,Germany,1
ABW0018,Germany,1
ABW4740,Spain,1
ABW9941,Germany,1
ABW9941,Italy,1
ABX1506,Italy,1
ABX3507,Italy,1
ABX3519,Hungary,1
ABZ5320,Germany,1
ACB4694,Germany,1
ACB5317,Germany,1
ACB7737,Germany,1
ACB8967,Germany,1
ACC1336,Germany,1
BNT162B2,Canada,1
BNT162B2,United States,1
CH-B:ER7812,Germany,1
CH-B:SCTD6,Germany,1
CH.-B.: 1F1023A,Germany,1
CH.-B.: EX3510,Germany,1
CH.-B.: FE6975,Germany,1
CH.-B.:31043TB,Germany,1
CH.-B.:ACB4694,Germany,1
CH.-B.:ET3674,Germany,1
CH.-B.:FC3095,Germany,1
CH.-B: FF0900,Germany,1
CVX207,Portugal,1
EH9899,Indonesia,1
EJ6788,Italy,1
EJ6796,Italy,1
EJ6797,Germany,1
EJ6797_65_003,Germany,1
EK4176,Indonesia,1
EK8788,Germany,1
EL2346,Germany,1
EL3249,United States,1
EL8713,United Kingdom,1
EN 6200,United States,1
EN 6206,United States,1
EN0161,United States,1
EN0477,United Kingdom,1
EN5318,Germany,1
EN6198,Italy,1
EN6200,Belgium,1
EN6202,Poland,1
EN6202,United States,1
EN6205,Belgium,1
EN6207,United States,1
EN6208,Iceland,1
EN6208,United States,1
ENG208,Iceland,1
EP2166,Italy,1
ER1471,Italy,1
ER1749,United Kingdom,1
ER7812,Germany,1
ER8730,United States,1
ER8733,United States,1
ER8736,United States,1
ER9470,Italy,1
ET1831,Italy,1
ET6956,Netherlands,1
ET7205,Italy,1
ET7205-12-057,Italy,1
ET9096,Brazil,1
EW0162,United States,1
EW0167,United States,1
EW0170,United States,1
EW0171,United States,1
EW0173,United States,1
EW0175,United States,1
EW0198,United States,1
EW0206,Peru,1
EW0216,Canada,1
EW0221,Israel,1
EW1051,United States,1
EW1075,United States,1
EW2246,Italy,1
EW3344,Canada,1
EW4815,Romania,1
EW8904,Germany,1
EWD175,United States,1
EWO158,Iceland,1
EWO179,United States,1
EWO191,United States,1
EWO198,United States,1
EX3617,Philippines,1
EX7389,Brazil,1
EX8679,Spain,1
EY0578,Canada,1
EY4825,Israel,1
EY5456,Canada,1
FA4597,Italy,1
FA7483,Mexico,1
FA7484,United States,1
FA8016,Italy,1
FA9094,Canada,1
FA9099,Brazil,1
FC 3095,Germany,1
FC 3143,Netherlands,1
FC1436,Germany,1
FC1526,Italy,1
FC2229,Italy,1
FC2473,Austria,1
FC2473,Czechia,1
FC3098,Italy,1
FC3143,Netherlands,1
