# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230601-20230601
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,4702,Grand total
#EL9262,United States,1
#EL9265,United States,1
#EP7534,United States,1
0,Australia,1
000004A 19/03/2,Australia,1
000014A,Australia,1
000019A,Australia,1
000022A,Australia,1
000022A,Thailand,1
000027BA,Australia,1
000029A,Australia,1
000030A,Australia,1
000031A,Australia,1
000033A,Australia,1
000037A,Australia,1
000040A,Australia,1
000044A,Australia,1
000048A,Japan,1
000049A,Australia,1
000050A,Australia,1
000059A,Australia,1
000075A,Australia,1
000075A,Thailand,1
000081A,Australia,1
000084A,Australia,1
000085A,Australia,1
000086A,Australia,1
000086A,Germany,1
000087A,Australia,1
000088A,Australia,1
000123A,Switzerland,1
001B21A,United States,1
002B21A,United States,1
002M21A,United States,1
005C21A,United States,1
008021A,United States,1
011A211A,United States,1
011J20A,United States,1
011L20A,United States,1
011M2OA,United States,1
012220A,Switzerland,1
012H21B,United States,1
012H21B-MODERNA,United States,1
012L20A,United States,1
013A21A,United States,1
013MZ0A,United States,1
016E21A,Canada,1
017B21A,United States,1
018B21A,United States,1
019B21A,United States,1
019J21A,Canada,1
020J21A,Canada,1
021B21A,United States,1
021B21A-1,United States,1
021M20A,United States,1
024M2OA,United States,1
025A21A,United States,1
025L20A,United States,1
027821A,Germany,1
027B21A,United States,1
032B21A,United States,1
032L20A,United States,1
032M20A,United States,1
034C21A,United States,1
037A21B,United States,1
037C21A,United States,1
037K2OA,United States,1
039C21A,United States,1
040A21A,United States,1
040B21A,United States,1
040D21A,United States,1
041L20A,United States,1
042421A,United States,1
043A21A,United States,1
044A21A,United States,1
044D21A,Canada,1
045A21A,United States,1
046L21A,United States,1
047B21A,United States,1
048A21A,United States,1
048C21A,United States,1
049C21A,United States,1
052E21A,United States,1
053C21A,United States,1
056M21A,United States,1
058F21A,United States,1
059M21A-MODERNA,United States,1
059MZ1A,United States,1
062F22A,United States,1
064H21A,United States,1
067421A,United States,1
067F21A-MODERNA,United States,1
06F21A,United States,1
084J21A,United States,1
093D21A,Canada,1
1111-20-FD0810,Canada,1
1119349007,Australia,1
1234,Germany,1
1805031,United States,1
1820095,United States,1
1822809,United States,1
1855190,United States,1
1: EW4815,Romania,1
1D013A,Germany,1
1D017A,Belgium,1
1E029A,Germany,1
1F1010A,Germany,1
1F1021A,Belgium,1
1F1021A,Germany,1
1F1022A,Germany,1
1F1023A,France,1
1F1024A,Germany,1
1F1056A,Australia,1
1K078A,Malaysia,1
200002A,Australia,1
200017A,United Kingdom,1
204A21A,United States,1
205A21A,United States,1
207AZ1A,United States,1
207AZIA,United States,1
210075,Italy,1
210093,Italy,1
212C21A,Germany,1
214013,Spain,1
216039,Spain,1
25L20A,United States,1
3001176,Austria,1
3001176,Canada,1
30011TB,Austria,1
