# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
EW0186,48,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
FA9099,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
GJ2542,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
EW0153,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
FC3180,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
FE3592,46,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1F1027A,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
ER8734,47,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
EW0199,2,0,39,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50
FE9174,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
3,31,4,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,49
ER8733,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
EW0172,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
EW0185,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
EX7823,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,49
0,27,7,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48
ER9480,6,36,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48
EW0182,41,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,48
FE7011,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,48
FG3739,0,1,0,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48
007M20A,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
EN6198,42,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,47
ER8735,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47
EW0167,42,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
EW0181,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
205A21A,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
8,3,0,5,5,8,0,22,1,0,0,0,0,0,0,0,0,0,0,0,2,46
EP2166,0,4,0,21,0,0,3,0,1,1,2,0,6,3,0,0,0,0,0,0,46
EW0177,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
FA7484,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
041L20A,38,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,45
1F1023A,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
ER8729,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
EN6200,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,44
EW0158,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
201A21A,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
EN6203,38,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
EW0173,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
EW0191,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43
EW0196,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
FA9094,0,0,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43
FC3558,0,0,0,6,4,0,0,3,0,0,7,0,0,0,0,5,0,0,1,0,43
FE,2,23,0,1,1,0,0,2,1,4,0,1,0,0,0,6,0,0,0,0,43
FH3253,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,43
FH8030,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1,23,13,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,42
206A21A,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,42
EH9899,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42
EL9267,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
EW0217,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
FC0681,0,2,0,1,0,0,0,0,9,14,0,0,6,0,7,3,0,0,0,0,42
1F1021A,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41
1F1024A,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
ER8732,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41
