# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230407-20230407
# ----------------------------------------

Clicked Batchcode,Country,Event count
EW0150,United States,2
EW0151,United States,2
EW0158,United States,2
EW0171,United States,2
EW0217,United States,2
FA6780,United States,2
FC3180,United States,2
FC3182,United States,2
FC3661,Slovakia,2
FD9234,Germany,2
FE6208,Sweden,2
FF8841,United States,2
FH0161,Sweden,2
FJ4989,United States,2
FR2587,United States,2
L#0318B21A,United States,2
PFIZER ER8737,United States,2
(not set),Costa Rica,3
012L20A,United States,3
033H21A,United States,3
043D21A,Canada,3
046A21A,United States,3
ER8736,United States,3
FC3183,United States,3
FE6208,Germany,3
FG3716,Belgium,3
FH8027,United States,3
PFIZER EW0158,United States,3
(not set),India,4
EX6537,Hungary,4
FE6208,United States,4
FR2583,United States,4
(not set),Argentina,5
(not set),Barbados,5
(not set),Chile,5
(not set),Hong Kong,5
(not set),Jersey,5
(not set),Tunisia,5
(not set),Uruguay,5
(not set),Croatia,6
(not set),Norway,6
(not set),Sri Lanka,7
(not set),Ireland,11
(not set),Türkiye,12
(not set),Luxembourg,13
(not set),Bosnia & Herzegovina,16
(not set),Denmark,18
(not set),Mexico,18
(not set),Colombia,19
(not set),Finland,20
(not set),Morocco,22
(not set),Belgium,23
(not set),Greece,25
(not set),Czechia,27
(not set),Philippines,33
(not set),South Africa,35
(not set),Slovakia,37
(not set),Malaysia,51
(not set),Poland,51
(not set),Switzerland,67
(not set),Brazil,68
(not set),France,85
(not set),Sweden,100
(not set),Spain,123
(not set),Netherlands,138
(not set),Australia,154
(not set),Hungary,196
(not set),Austria,246
(not set),Japan,276
(not set),Canada,328
(not set),United Kingdom,330
(not set),Italy,422
(not set),Romania,457
(not set),Germany,984
(not set),United States,2371

