# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230401-20230401
# ----------------------------------------

Clicked Batchcode,Country,Event count
,,10525,Grand total
#091D21A,United States,1
#EK5730,United States,1
#EN6202,United States,1
0011B21A,United States,1
003C21A,United States,1
0044D21A,Canada,1
004C21A,United States,1
004F21A,United States,1
004M20A,United States,1
0052C21A,Canada,1
005C21A,United States,1
006C21A,United States,1
007M20A,United States,1
008D21A,United States,1
011J20A,United States,1
011M20A,United States,1
012H21B,United States,1
013F21A,United States,1
013L20A,United States,1
013MZOA,United States,1
016M20A,United States,1
017E21A,United States,1
018B21A,United States,1
020B21A,United States,1
0212A21A,United States,1
0251A21A,United States,1
025J20-2A,United States,1
025L20A,United States,1
025L21B,United States,1
026L20A,Cape Verde,1
026L20A,Netherlands,1
026L20A/032L20A,United States,1
027A21A,United States,1
027C21A,United States,1
029A21A,United States,1
029H21B,Brazil,1
030B21A,United States,1
030M2OA,United States,1
03230BD,United States,1
032H20A,United States,1
033C21A,United States,1
037K20A,United States,1
037K20A       0,United States,1
039F21A,United States,1
039K20A,Germany,1
039K20A,Italy,1
040A21A,United States,1
041A21A,United States,1
041A21A  16609,United States,1
041A21A  4-5-21,United States,1
"041A21A,  NDC 5",United States,1
"041A21A, SITE H",United States,1
041J21A (ILLEGI,United States,1
042021A,Canada,1
042L20A,United States,1
043A21A,United States,1
043D21A,Canada,1
045A21A,United States,1
045C21A,United States,1
045D21,Canada,1
046A21A,United States,1
047B21A,United States,1
048C21A,United States,1
048L21A8/22,United States,1
051C21A,United States,1
052C21A,Canada,1
052E21A,United States,1
054C21A,United States,1
058E21A,United States,1
084J21A,United States,1
088D21A,United States,1
091D21A,United States,1
110-20-026L20A,United States,1
1808980,United States,1
1822811,United States,1
1855194,United States,1
1D020A,Germany,1
1H049A,Germany,1
202A21A,United States,1
203A21A,Italy,1
212A21A,United States,1
212C21A,United States,1
213C21A,United States,1
251A21A,United States,1
2692147,United States,1
3001442,United States,1
3001658,Spain,1
3001943,Italy,1
3002185,Japan,1
3002332,United Kingdom,1
3002538,Canada,1
3002541,Germany,1
3002544,Germany,1
3002618,Japan,1
3003182,Japan,1
3003188,Germany,1
3003601,Italy,1
3003651,United Kingdom,1
3004217,Germany,1
3004224,Hungary,1
3004727,United Kingdom,1
3005837,Germany,1
3230BD,United States,1
33025BD,United States,1
330308D,United States,1
4120Z003,United Kingdom,1
939903,United States,1
939906,United States,1
ABV6096,Romania,1
ABZ5320,Germany,1
ACB5318,Netherlands,1
ACC1336,Germany,1
BN:FN3543,United Kingdom,1
BNT162B2,Canada,1
CH.-B.: 1F030A,Germany,1
CH.-B.: ACB5038,Germany,1
CH.-B.: FC1436,Germany,1
CH.-B.:FC3095,Germany,1
CH.-B.:FD9234,Germany,1
CH..-B.:1D020A,Germany,1
EEK5730 & EL128,United States,1
EJ1685,United States,1
EK4243,United Kingdom,1
"EK5730 ,",United States,1
EK5730 3/2021,United States,1
EK5730 EXP 3/21,United States,1
EK5730 PFIZER,United States,1
EK5730/BL3246,United States,1
EK9231,United States,1
EK9788,Japan,1
EK9788,Netherlands,1
EL0142,United States,1
EL1404,United States,1
EL3246 & EL9265,United States,1
"EL3246, EL9265",United States,1
EL3247,United States,1
EL3248,United States,1
EL3249,United States,1
EL9261,United States,1
EL9264 AND EN62,United States,1
EL9265,United States,1
"EL9265, EN6200",United States,1
EL9265.,United States,1
EL92650,United States,1
EL92652,United States,1
EL92655,United States,1
EL9269,United States,1
EM0477,Czechia,1
EM0477,United States,1
EN6198,United States,1
EN6199,United States,1
EN6201,Cape Verde,1
EN6201,Czechia,1
EN6201,Italy,1
EN6205,United States,1
EN6207,Germany,1
ER1741,United Kingdom,1
ER1742,Canada,1
ER8731,United States,1
ER8732,United States,1
ER9480,Germany,1
ERC730,United States,1
EW0153,Romania,1
EW0164,United States,1
EW0167,United States,1
EW0177 / FT7485,United States,1
EW0177 OR EW077,United States,1
EW01776,United States,1
EW0179_H,United States,1
EW0181,United States,1
EW0182,United States,1
EW0183,United States,1
EW0183 / PUBLIC,United States,1
EW0191,United States,1
EW0193,Canada,1
EW4109,United Kingdom,1
EW4811,Japan,1
EW6204,United States,1
EWO 169/ EWO179,United States,1
EWO168,United States,1
EWO169,United States,1
EWO171,United States,1
EWO179,United States,1
EX6537,Hungary,1
EX8679,Germany,1
