# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230125-20230325
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Totals
Clicked Batchcode,Event count,Event count,Event count,Event count,Event count,Event count
300042722; 3000,0,0,3,0,0,3
3001652,0,0,0,0,0,3
3001657,0,0,0,0,0,3
3004215,0,0,0,0,0,3
3005887 27/2/20,0,0,0,0,3,3
300V654,0,0,0,0,0,3
301458A,3,0,0,0,0,3
331308A,2,1,0,0,0,3
430ZMF023,3,0,0,0,0,3
7067502,0,0,0,0,0,3
ABZ5320,0,2,0,0,0,3
ACB4694,0,2,0,0,0,3
BN FH8469,0,0,0,0,3,3
CH.-B EX3599,0,3,0,0,0,3
D48C21A,3,0,0,0,0,3
EK9788,1,1,0,0,0,3
EL 9269,2,0,0,0,0,3
EL0200,0,0,0,0,0,3
EL9269,2,1,0,0,0,3
EM4965,0,0,0,1,0,3
EN6199,2,0,0,0,0,3
EN6200,2,0,0,0,0,3
EP2163 SERIAL 1,0,0,0,0,0,3
EP6775,0,0,1,0,0,3
ER1742,0,0,3,0,0,3
ER7934,0,0,0,0,0,3
ER8731,3,0,0,0,0,3
ER8735,3,0,0,0,0,3
ER9449,0,0,0,0,0,3
EW0168,3,0,0,0,0,3
EW0170,3,0,0,0,0,3
EW0175,3,0,0,0,0,3
EW0177,3,0,0,0,0,3
EW0181,3,0,0,0,0,3
FA5833,0,2,0,0,1,3
FC2495,0,0,0,0,0,3
FE3065,0,0,0,0,2,3
FE7051,0,0,0,0,0,3
FE8163,0,0,0,0,0,3
FE8235,0,0,0,0,0,3
FF0900,0,2,0,0,0,3
FF2588,3,0,0,0,0,3
FF2590,2,0,0,0,0,3
FG1657,0,0,0,0,0,3
FH3220,0,0,0,2,0,3
FH4092,0,0,0,0,0,3
FH9678,0,1,0,0,0,3
FJ5782,1,0,0,2,0,3
FJ5973,0,0,0,0,0,3
FK9729,3,0,0,0,0,3
FX4343,0,0,3,0,0,3
LOT #: FK9729,3,0,0,0,0,3
NO BATCH NUMBER,0,0,0,0,0,3
PFIZER ER8730,3,0,0,0,0,3
PV46671,0,0,0,3,0,3
PW40008,0,0,0,0,0,3
SCUE1,0,3,0,0,0,3
SCVT5,0,3,0,0,0,3
XE423,0,0,0,0,0,3
#EJ1685,2,0,0,0,0,2
#EN6198,0,0,0,0,0,2
#FF2589,2,0,0,0,0,2
002C21A / 5/8/2,2,0,0,0,0,2
005C21A,2,0,0,0,0,2
006B21A,2,0,0,0,0,2
0070321A,2,0,0,0,0,2
007B21A,2,0,0,0,0,2
007M20A,2,0,0,0,0,2
010A21A,1,0,0,0,0,2
010M20A,2,0,0,0,0,2
011J20A(OR 7),2,0,0,0,0,2
016B21A,2,0,0,0,0,2
016C21A,2,0,0,0,0,2
017C21A,2,0,0,0,0,2
021C21A,2,0,0,0,0,2
022D21A,0,0,0,0,0,2
025J20-2A,2,0,0,0,0,2
025L20A,1,0,0,0,0,2
026H21A,0,0,0,0,0,2
027A21A,2,0,0,0,0,2
027C21A,2,0,0,0,0,2
027L20A,1,0,0,0,0,2
030H21B,2,0,0,0,0,2
032B21A;,2,0,0,0,0,2
032H21A,2,0,0,0,0,2
036A21A,2,0,0,0,0,2
037A21B,2,0,0,0,0,2
037C21A,2,0,0,0,0,2
039A21A,2,0,0,0,0,2
039C12A,2,0,0,0,0,2
039F21A,2,0,0,0,0,2
041C21A,2,0,0,0,0,2
041L20A,1,0,0,0,0,2
042L20A,2,0,0,0,0,2
043D21A,0,0,1,0,0,2
044A21A,1,0,0,0,0,2
045A21A,2,0,0,0,0,2
045D21,0,0,0,0,0,2
045D21A,0,0,0,0,0,2
049C21A,2,0,0,0,0,2
049D22A,2,0,0,0,0,2
04D21A,0,0,0,0,0,2
052EZLA,2,0,0,0,0,2
055221A,0,0,0,0,0,2
058E21A,2,0,0,0,0,2
079J21B,0,0,0,0,0,2
080C21A,0,0,0,0,0,2
085D21A,0,0,0,0,0,2
086J21H,0,0,0,0,0,2
093DZIA – 093D2,0,0,0,0,0,2
1802070,0,0,0,0,0,2
1805022,0,0,0,0,0,2
1805029,0,0,0,0,0,2
1808609,2,0,0,0,0,2
